uni25052	U+25052	𥁒
uni25055	U+25055	𥁕
uni2509D	U+2509D	𥂝
uni25122	U+25122	𥄢
uni2512B	U+2512B	𥄫
uni25148	U+25148	𥅈
uni2517D	U+2517D	𥅽
uni2517E	U+2517E	𥅾
uni251A9	U+251A9	𥆩
uni251CD	U+251CD	𥇍
uni251E3	U+251E3	𥇣
uni251E5	U+251E5	𥇥
uni251E6	U+251E6	𥇦
uni251E7	U+251E7	𥇧
uni2521E	U+2521E	𥈞
uni25220	U+25220	𥈠
uni25221	U+25221	𥈡
uni2524C	U+2524C	𥉌
uni25250	U+25250	𥉐
uni25299	U+25299	𥊙
uni252C7	U+252C7	𥋇
uni252D8	U+252D8	𥋘
uni2530E	U+2530E	𥌎
uni25311	U+25311	𥌑
uni25313	U+25313	𥌓
uni2533E	U+2533E	𥌾
uni253B5	U+253B5	𥎵
uni253FE	U+253FE	𥏾
uni25419	U+25419	𥐙
uni25425	U+25425	𥐥
uni2542E	U+2542E	𥐮
uni2542F	U+2542F	𥐯
uni25430	U+25430	𥐰
uni25446	U+25446	𥑆
uni2546C	U+2546C	𥑬
uni2546E	U+2546E	𥑮
uni2548E	U+2548E	𥒎
uni2549A	U+2549A	𥒚
uni254D9	U+254D9	𥓙
uni2550E	U+2550E	𥔎
uni25531	U+25531	𥔱
uni25532	U+25532	𥔲
uni25535	U+25535	𥔵
uni2553F	U+2553F	𥔿
uni2555B	U+2555B	𥕛
uni2555C	U+2555C	𥕜
uni2555D	U+2555D	𥕝
uni2555E	U+2555E	𥕞
uni25562	U+25562	𥕢
uni25565	U+25565	𥕥
uni25566	U+25566	𥕦
uni25581	U+25581	𥖁
uni25584	U+25584	𥖄
uni2558F	U+2558F	𥖏
uni255A7	U+255A7	𥖧
uni255A8	U+255A8	𥖨
uni255B9	U+255B9	𥖹
uni255D5	U+255D5	𥗕
uni255DB	U+255DB	𥗛
uni255E0	U+255E0	𥗠
uni25605	U+25605	𥘅
uni25635	U+25635	𥘵
uni25651	U+25651	𥙑
uni2567F	U+2567F	𥙿
uni25683	U+25683	𥚃
uni25695	U+25695	𥚕
uni256E3	U+256E3	𥛣
uni256F6	U+256F6	𥛶
uni25706	U+25706	𥜆
uni2571D	U+2571D	𥜝
uni25725	U+25725	𥜥
uni2573D	U+2573D	𥜽
uni25771	U+25771	𥝱
uni25772	U+25772	𥝲
uni257A9	U+257A9	𥞩
uni257B4	U+257B4	𥞴
uni257C7	U+257C7	𥟇
uni257DF	U+257DF	𥟟
uni257E0	U+257E0	𥟠
uni257E1	U+257E1	𥟡
uni25832	U+25832	𥠲
uni2583A	U+2583A	𥠺
uni25857	U+25857	𥡗
uni2585D	U+2585D	𥡝
uni25872	U+25872	𥡲
uni25874	U+25874	𥡴
uni258C8	U+258C8	𥣈
uni258DE	U+258DE	𥣞
uni258E1	U+258E1	𥣡
uni25903	U+25903	𥤃
uni25946	U+25946	𥥆
uni25956	U+25956	𥥖
uni25978	U+25978	𥥸
uni259AC	U+259AC	𥦬
uni259C4	U+259C4	𥧄
uni259CC	U+259CC	𥧌
uni259D4	U+259D4	𥧔
uni25A54	U+25A54	𥩔
uni25A95	U+25A95	𥪕
uni25A9C	U+25A9C	𥪜
uni25AAE	U+25AAE	𥪮
uni25AAF	U+25AAF	𥪯
uni25AE3	U+25AE3	𥫣
uni25AE4	U+25AE4	𥫤
uni25AE9	U+25AE9	𥫩
uni25AF1	U+25AF1	𥫱
uni25B74	U+25B74	𥭴
uni25B89	U+25B89	𥮉
uni25B97	U+25B97	𥮗
uni25BB2	U+25BB2	𥮲
uni25BB3	U+25BB3	𥮳
uni25BB4	U+25BB4	𥮴
uni25BC6	U+25BC6	𥯆
uni25BE4	U+25BE4	𥯤
uni25BE8	U+25BE8	𥯨
uni25C01	U+25C01	𥰁
uni25C06	U+25C06	𥰆
uni25C21	U+25C21	𥰡
uni25C4A	U+25C4A	𥱊
uni25C4B	U+25C4B	𥱋
uni25C64	U+25C64	𥱤
uni25C65	U+25C65	𥱥
uni25C91	U+25C91	𥲑
uni25CA4	U+25CA4	𥲤
uni25CC0	U+25CC0	𥳀
uni25CC1	U+25CC1	𥳁
uni25CFE	U+25CFE	𥳾
uni25D20	U+25D20	𥴠
uni25D30	U+25D30	𥴰
uni25D43	U+25D43	𥵃
uni25D99	U+25D99	𥶙
uni25DA1	U+25DA1	𥶡
uni25DB9	U+25DB9	𥶹
uni25E0E	U+25E0E	𥸎
uni25E2E	U+25E2E	𥸮
uni25E44	U+25E44	𥹄
uni25E49	U+25E49	𥹉
uni25E56	U+25E56	𥹖
uni25E62	U+25E62	𥹢
uni25E65	U+25E65	𥹥
uni25E81	U+25E81	𥺁
uni25E82	U+25E82	𥺂
uni25E83	U+25E83	𥺃
uni25EA6	U+25EA6	𥺦
uni25EBC	U+25EBC	𥺼
uni25EC2	U+25EC2	𥻂
uni25ED7	U+25ED7	𥻗
uni25ED8	U+25ED8	𥻘
uni25EE8	U+25EE8	𥻨
uni25F1A	U+25F1A	𥼚
uni25F23	U+25F23	𥼣
uni25F4B	U+25F4B	𥽋
uni25F5C	U+25F5C	𥽜
uni25FD4	U+25FD4	𥿔
uni25FE0	U+25FE0	𥿠
uni25FE1	U+25FE1	𥿡
uni25FE2	U+25FE2	𥿢
uni25FFB	U+25FFB	𥿻
uni2600C	U+2600C	𦀌
uni26017	U+26017	𦀗
uni26021	U+26021	𦀡
uni26029	U+26029	𦀩
uni26048	U+26048	𦁈
uni26057	U+26057	𦁗
uni26060	U+26060	𦁠
uni26064	U+26064	𦁤
uni26083	U+26083	𦂃
uni26097	U+26097	𦂗
uni260A4	U+260A4	𦂤
uni260A5	U+260A5	𦂥
uni260ED	U+260ED	𦃭
uni26102	U+26102	𦄂
uni26121	U+26121	𦄡
uni26159	U+26159	𦅙
uni2615A	U+2615A	𦅚
uni2615B	U+2615B	𦅛
uni2615C	U+2615C	𦅜
uni261AD	U+261AD	𦆭
uni261AE	U+261AE	𦆮
uni261B2	U+261B2	𦆲
uni261DD	U+261DD	𦇝
uni26221	U+26221	𦈡
uni26222	U+26222	𦈢
uni26258	U+26258	𦉘
uni26261	U+26261	𦉡
uni2626A	U+2626A	𦉪
uni2626B	U+2626B	𦉫
uni26270	U+26270	𦉰
uni26286	U+26286	𦊆
uni262D0	U+262D0	𦋐
uni26335	U+26335	𦌵
uni2634B	U+2634B	𦍋
uni2634C	U+2634C	𦍌
uni26351	U+26351	𦍑
uni263BE	U+263BE	𦎾
uni263F5	U+263F5	𦏵
uni263F8	U+263F8	𦏸
uni26402	U+26402	𦐂
uni26410	U+26410	𦐐
uni26411	U+26411	𦐑
uni26412	U+26412	𦐒
uni2644A	U+2644A	𦑊
uni26469	U+26469	𦑩
uni26484	U+26484	𦒄
uni26488	U+26488	𦒈
uni26489	U+26489	𦒉
uni2648D	U+2648D	𦒍
uni26498	U+26498	𦒘
uni26512	U+26512	𦔒
uni26572	U+26572	𦕲
uni265A0	U+265A0	𦖠
uni265A4	U+265A4	𦖤
uni265AD	U+265AD	𦖭
uni265BF	U+265BF	𦖿
uni26612	U+26612	𦘒
uni26626	U+26626	𦘦
uni26676	U+26676	𦙶
uni2667E	U+2667E	𦙾
uni266AF	U+266AF	𦚯
uni266B0	U+266B0	𦚰
uni266B1	U+266B1	𦚱
uni266B5	U+266B5	𦚵
uni266DA	U+266DA	𦛚
uni266E8	U+266E8	𦛨
uni266FC	U+266FC	𦛼
uni26716	U+26716	𦜖
uni2671D	U+2671D	𦜝
uni26741	U+26741	𦝁
uni2677C	U+2677C	𦝼
uni26799	U+26799	𦞙
uni267B3	U+267B3	𦞳
uni267B4	U+267B4	𦞴
uni267CC	U+267CC	𦟌
uni267D8	U+267D8	𦟘
uni2681C	U+2681C	𦠜
uni26846	U+26846	𦡆
uni2685E	U+2685E	𦡞
uni2686E	U+2686E	𦡮
uni26888	U+26888	𦢈
uni2688A	U+2688A	𦢊
uni26893	U+26893	𦢓
uni268C7	U+268C7	𦣇
uni268DD	U+268DD	𦣝
uni268EA	U+268EA	𦣪
uni2690E	U+2690E	𦤎
uni26911	U+26911	𦤑
uni26926	U+26926	𦤦
uni26939	U+26939	𦤹
uni2696F	U+2696F	𦥯
uni26999	U+26999	𦦙
uni269A8	U+269A8	𦦨
uni269B5	U+269B5	𦦵
uni269DD	U+269DD	𦧝
uni269F2	U+269F2	𦧲
uni269FA	U+269FA	𦧺
uni26A1E	U+26A1E	𦨞
uni26A2D	U+26A2D	𦨭
uni26A2E	U+26A2E	𦨮
uni26A34	U+26A34	𦨴
uni26A42	U+26A42	𦩂
uni26A51	U+26A51	𦩑
uni26A52	U+26A52	𦩒
uni26A58	U+26A58	𦩘
uni26A8C	U+26A8C	𦪌
uni26AB7	U+26AB7	𦪷
uni26AFF	U+26AFF	𦫿
uni26B05	U+26B05	𦬅
uni26B0A	U+26B0A	𦬊
uni26B13	U+26B13	𦬓
uni26B15	U+26B15	𦬕
uni26B23	U+26B23	𦬣
uni26B28	U+26B28	𦬨
uni26B50	U+26B50	𦭐
uni26B51	U+26B51	𦭑
uni26B52	U+26B52	𦭒
