uni4A9E	U+4A9E	䪞
uni4CFB	U+4CFB	䳻
uni4CFC	U+4CFC	䳼
uni4CFD	U+4CFD	䳽
uni4CFE	U+4CFE	䳾
uni4CFF	U+4CFF	䳿
uni4D00	U+4D00	䴀
uni4D01	U+4D01	䴁
uni4D02	U+4D02	䴂
uni4D03	U+4D03	䴃
uni4D04	U+4D04	䴄
uni4D05	U+4D05	䴅
uni4D06	U+4D06	䴆
uni4D07	U+4D07	䴇
uni4D08	U+4D08	䴈
uni4D09	U+4D09	䴉
uni4D0A	U+4D0A	䴊
uni4D0B	U+4D0B	䴋
uni4D0C	U+4D0C	䴌
uni4D0D	U+4D0D	䴍
uni4D0E	U+4D0E	䴎
uni4D0F	U+4D0F	䴏
uni4D10	U+4D10	䴐
uni4D11	U+4D11	䴑
uni4D12	U+4D12	䴒
uni4D13	U+4D13	䴓
uni4D14	U+4D14	䴔
uni4D15	U+4D15	䴕
uni4D16	U+4D16	䴖
uni4D17	U+4D17	䴗
uni4D18	U+4D18	䴘
uni4D19	U+4D19	䴙
uni4D1A	U+4D1A	䴚
uni4D1B	U+4D1B	䴛
uni4D1C	U+4D1C	䴜
uni4D1D	U+4D1D	䴝
uni4D1E	U+4D1E	䴞
uni4D1F	U+4D1F	䴟
uni4D20	U+4D20	䴠
uni4D21	U+4D21	䴡
uni4D22	U+4D22	䴢
uni4D23	U+4D23	䴣
uni4D24	U+4D24	䴤
uni4D25	U+4D25	䴥
uni4D26	U+4D26	䴦
uni4D27	U+4D27	䴧
uni4D28	U+4D28	䴨
uni4D29	U+4D29	䴩
uni4D2A	U+4D2A	䴪
uni4D2B	U+4D2B	䴫
uni4D2C	U+4D2C	䴬
uni4D2D	U+4D2D	䴭
uni4D2E	U+4D2E	䴮
uni4D2F	U+4D2F	䴯
uni4D30	U+4D30	䴰
uni4D31	U+4D31	䴱
uni4D32	U+4D32	䴲
uni4D33	U+4D33	䴳
uni4D34	U+4D34	䴴
uni4D35	U+4D35	䴵
uni4D36	U+4D36	䴶
uni4D37	U+4D37	䴷
uni4D38	U+4D38	䴸
uni4D39	U+4D39	䴹
uni4D3A	U+4D3A	䴺
uni4D3B	U+4D3B	䴻
uni4D3C	U+4D3C	䴼
uni4D3D	U+4D3D	䴽
uni4D3E	U+4D3E	䴾
uni4D3F	U+4D3F	䴿
uni4D40	U+4D40	䵀
uni4D41	U+4D41	䵁
uni4D42	U+4D42	䵂
uni4D43	U+4D43	䵃
uni4D44	U+4D44	䵄
uni4D45	U+4D45	䵅
uni4D46	U+4D46	䵆
uni4D47	U+4D47	䵇
uni4D48	U+4D48	䵈
uni4D49	U+4D49	䵉
uni4D4A	U+4D4A	䵊
uni4D4B	U+4D4B	䵋
uni4D4C	U+4D4C	䵌
uni4D4D	U+4D4D	䵍
uni4D4E	U+4D4E	䵎
uni4D4F	U+4D4F	䵏
uni4D50	U+4D50	䵐
uni4D51	U+4D51	䵑
uni4D52	U+4D52	䵒
uni4D53	U+4D53	䵓
uni4D54	U+4D54	䵔
uni4D55	U+4D55	䵕
uni4D56	U+4D56	䵖
uni4D57	U+4D57	䵗
uni4D58	U+4D58	䵘
uni4D59	U+4D59	䵙
uni4D5A	U+4D5A	䵚
uni4D5B	U+4D5B	䵛
uni4D5C	U+4D5C	䵜
uni4D5D	U+4D5D	䵝
uni4D5E	U+4D5E	䵞
uni4D5F	U+4D5F	䵟
uni4D60	U+4D60	䵠
uni4D61	U+4D61	䵡
uni4D62	U+4D62	䵢
uni4D63	U+4D63	䵣
uni4D64	U+4D64	䵤
uni4D65	U+4D65	䵥
uni4D66	U+4D66	䵦
uni4D67	U+4D67	䵧
uni4D68	U+4D68	䵨
uni4D69	U+4D69	䵩
uni4D6A	U+4D6A	䵪
uni4D6B	U+4D6B	䵫
uni4D6C	U+4D6C	䵬
uni4D6D	U+4D6D	䵭
uni4D6E	U+4D6E	䵮
uni4D6F	U+4D6F	䵯
uni4D70	U+4D70	䵰
uni4D71	U+4D71	䵱
uni4D72	U+4D72	䵲
uni4D73	U+4D73	䵳
uni4D74	U+4D74	䵴
uni4D75	U+4D75	䵵
uni4D76	U+4D76	䵶
uni4D77	U+4D77	䵷
uni4D78	U+4D78	䵸
uni4D79	U+4D79	䵹
uni4D7A	U+4D7A	䵺
uni4D7B	U+4D7B	䵻
uni4D7C	U+4D7C	䵼
uni4D7D	U+4D7D	䵽
uni4D7E	U+4D7E	䵾
uni4D7F	U+4D7F	䵿
uni4D80	U+4D80	䶀
uni4D81	U+4D81	䶁
uni4D82	U+4D82	䶂
uni4D83	U+4D83	䶃
uni4D84	U+4D84	䶄
uni4D85	U+4D85	䶅
uni4D86	U+4D86	䶆
uni4D87	U+4D87	䶇
uni4D88	U+4D88	䶈
uni4D89	U+4D89	䶉
uni4D8A	U+4D8A	䶊
uni4D8B	U+4D8B	䶋
uni4D8C	U+4D8C	䶌
uni4D8D	U+4D8D	䶍
uni4D8E	U+4D8E	䶎
uni4D8F	U+4D8F	䶏
uni4D90	U+4D90	䶐
uni4D91	U+4D91	䶑
uni4D92	U+4D92	䶒
uni4D93	U+4D93	䶓
uni4D94	U+4D94	䶔
uni4D95	U+4D95	䶕
uni4D96	U+4D96	䶖
uni4D97	U+4D97	䶗
uni4D98	U+4D98	䶘
uni4D99	U+4D99	䶙
uni4D9A	U+4D9A	䶚
uni4D9B	U+4D9B	䶛
uni4D9C	U+4D9C	䶜
uni4D9D	U+4D9D	䶝
uni4D9E	U+4D9E	䶞
uni4D9F	U+4D9F	䶟
uni4DA0	U+4DA0	䶠
uni4DA1	U+4DA1	䶡
uni4DA2	U+4DA2	䶢
uni4DA3	U+4DA3	䶣
uni4DA4	U+4DA4	䶤
uni4DA5	U+4DA5	䶥
uni4DA6	U+4DA6	䶦
uni4DA7	U+4DA7	䶧
uni4DA8	U+4DA8	䶨
uni4DA9	U+4DA9	䶩
uni4DAA	U+4DAA	䶪
uni4DAB	U+4DAB	䶫
uni4DAC	U+4DAC	䶬
uni4DAD	U+4DAD	䶭
uni4DAE	U+4DAE	䶮
uni4DAF	U+4DAF	䶯
uni4DB0	U+4DB0	䶰
uni4DB1	U+4DB1	䶱
uni4DB2	U+4DB2	䶲
uni4DB3	U+4DB3	䶳
uni4DB4	U+4DB4	䶴
uni4DB5	U+4DB5	䶵
uni4E01	U+4E01	丁
uni4E02	U+4E02	丂
uni4E03	U+4E03	七
uni4E04	U+4E04	丄
uni4E05	U+4E05	丅
uni4E06	U+4E06	丆
uni4E07	U+4E07	万
uni4E08	U+4E08	丈
uni4E09	U+4E09	三
uni4E0A	U+4E0A	上
uni4E0B	U+4E0B	下
uni4E0C	U+4E0C	丌
uni4E0D	U+4E0D	不
uni4E0E	U+4E0E	与
uni4E0F	U+4E0F	丏
uni4E10	U+4E10	丐
uni4E11	U+4E11	丑
uni4E12	U+4E12	丒
uni4E13	U+4E13	专
uni4E14	U+4E14	且
uni4E15	U+4E15	丕
uni4E16	U+4E16	世
uni4E17	U+4E17	丗
uni4E18	U+4E18	丘
uni4E19	U+4E19	丙
uni4E1A	U+4E1A	业
uni4E1B	U+4E1B	丛
uni4E1C	U+4E1C	东
