uni3A9C	U+3A9C	㪜
uni3C68	U+3C68	㱨
uni3C69	U+3C69	㱩
uni3C6A	U+3C6A	㱪
uni3C6B	U+3C6B	㱫
uni3C6C	U+3C6C	㱬
uni3C6D	U+3C6D	㱭
uni3C6E	U+3C6E	㱮
uni3C6F	U+3C6F	㱯
uni3C70	U+3C70	㱰
uni3C71	U+3C71	㱱
uni3C72	U+3C72	㱲
uni3C73	U+3C73	㱳
uni3C74	U+3C74	㱴
uni3C75	U+3C75	㱵
uni3C76	U+3C76	㱶
uni3C77	U+3C77	㱷
uni3C78	U+3C78	㱸
uni3C79	U+3C79	㱹
uni3C7A	U+3C7A	㱺
uni3C7B	U+3C7B	㱻
uni3C7C	U+3C7C	㱼
uni3C7D	U+3C7D	㱽
uni3C7E	U+3C7E	㱾
uni3C7F	U+3C7F	㱿
uni3C80	U+3C80	㲀
uni3C81	U+3C81	㲁
uni3C82	U+3C82	㲂
uni3C83	U+3C83	㲃
uni3C84	U+3C84	㲄
uni3C85	U+3C85	㲅
uni3C86	U+3C86	㲆
uni3C87	U+3C87	㲇
uni3C88	U+3C88	㲈
uni3C89	U+3C89	㲉
uni3C8A	U+3C8A	㲊
uni3C8B	U+3C8B	㲋
uni3C8C	U+3C8C	㲌
uni3C8D	U+3C8D	㲍
uni3C8E	U+3C8E	㲎
uni3C8F	U+3C8F	㲏
uni3C90	U+3C90	㲐
uni3C91	U+3C91	㲑
uni3C92	U+3C92	㲒
uni3C93	U+3C93	㲓
uni3C94	U+3C94	㲔
uni3C95	U+3C95	㲕
uni3C96	U+3C96	㲖
uni3C97	U+3C97	㲗
uni3C98	U+3C98	㲘
uni3C99	U+3C99	㲙
uni3C9A	U+3C9A	㲚
uni3C9B	U+3C9B	㲛
uni3C9C	U+3C9C	㲜
uni3C9D	U+3C9D	㲝
uni3C9E	U+3C9E	㲞
uni3C9F	U+3C9F	㲟
uni3CA0	U+3CA0	㲠
uni3CA1	U+3CA1	㲡
uni3CA2	U+3CA2	㲢
uni3CA3	U+3CA3	㲣
uni3CA4	U+3CA4	㲤
uni3CA5	U+3CA5	㲥
uni3CA6	U+3CA6	㲦
uni3CA7	U+3CA7	㲧
uni3CA8	U+3CA8	㲨
uni3CA9	U+3CA9	㲩
uni3CAA	U+3CAA	㲪
uni3CAB	U+3CAB	㲫
uni3CAC	U+3CAC	㲬
uni3CAD	U+3CAD	㲭
uni3CAE	U+3CAE	㲮
uni3CAF	U+3CAF	㲯
uni3CB0	U+3CB0	㲰
uni3CB1	U+3CB1	㲱
uni3CB2	U+3CB2	㲲
uni3CB3	U+3CB3	㲳
