uni3E9C	U+3E9C	㺜
uni40D3	U+40D3	䃓
uni40D4	U+40D4	䃔
uni40D5	U+40D5	䃕
uni40D6	U+40D6	䃖
uni40D7	U+40D7	䃗
uni40D8	U+40D8	䃘
uni40D9	U+40D9	䃙
uni40DA	U+40DA	䃚
uni40DB	U+40DB	䃛
uni40DC	U+40DC	䃜
uni40DD	U+40DD	䃝
uni40DE	U+40DE	䃞
uni40DF	U+40DF	䃟
uni40E0	U+40E0	䃠
uni40E1	U+40E1	䃡
uni40E2	U+40E2	䃢
uni40E3	U+40E3	䃣
uni40E4	U+40E4	䃤
uni40E5	U+40E5	䃥
uni40E6	U+40E6	䃦
uni40E7	U+40E7	䃧
uni40E8	U+40E8	䃨
uni40E9	U+40E9	䃩
uni40EA	U+40EA	䃪
uni40EB	U+40EB	䃫
uni40EC	U+40EC	䃬
uni40ED	U+40ED	䃭
uni40EE	U+40EE	䃮
uni40EF	U+40EF	䃯
uni40F0	U+40F0	䃰
uni40F1	U+40F1	䃱
uni40F2	U+40F2	䃲
uni40F3	U+40F3	䃳
uni40F4	U+40F4	䃴
uni40F5	U+40F5	䃵
uni40F6	U+40F6	䃶
uni40F7	U+40F7	䃷
uni40F8	U+40F8	䃸
uni40F9	U+40F9	䃹
uni40FA	U+40FA	䃺
uni40FB	U+40FB	䃻
uni40FC	U+40FC	䃼
uni40FD	U+40FD	䃽
uni40FE	U+40FE	䃾
uni40FF	U+40FF	䃿
uni4100	U+4100	䄀
uni4101	U+4101	䄁
uni4102	U+4102	䄂
uni4103	U+4103	䄃
uni4104	U+4104	䄄
uni4105	U+4105	䄅
uni4106	U+4106	䄆
uni4107	U+4107	䄇
uni4108	U+4108	䄈
uni4109	U+4109	䄉
uni410A	U+410A	䄊
uni410B	U+410B	䄋
uni410C	U+410C	䄌
uni410D	U+410D	䄍
uni410E	U+410E	䄎
uni410F	U+410F	䄏
uni4110	U+4110	䄐
uni4111	U+4111	䄑
uni4112	U+4112	䄒
uni4113	U+4113	䄓
uni4114	U+4114	䄔
uni4115	U+4115	䄕
uni4116	U+4116	䄖
uni4117	U+4117	䄗
uni4118	U+4118	䄘
uni4119	U+4119	䄙
uni411A	U+411A	䄚
uni411B	U+411B	䄛
uni411C	U+411C	䄜
uni411D	U+411D	䄝
uni411E	U+411E	䄞
uni411F	U+411F	䄟
uni4120	U+4120	䄠
uni4121	U+4121	䄡
uni4122	U+4122	䄢
uni4123	U+4123	䄣
uni4124	U+4124	䄤
uni4125	U+4125	䄥
uni4126	U+4126	䄦
uni4127	U+4127	䄧
uni4128	U+4128	䄨
uni4129	U+4129	䄩
uni412A	U+412A	䄪
uni412B	U+412B	䄫
uni412C	U+412C	䄬
uni412D	U+412D	䄭
uni412E	U+412E	䄮
uni412F	U+412F	䄯
uni4130	U+4130	䄰
uni4131	U+4131	䄱
uni4132	U+4132	䄲
uni4133	U+4133	䄳
uni4134	U+4134	䄴
uni4135	U+4135	䄵
uni4136	U+4136	䄶
uni4137	U+4137	䄷
uni4138	U+4138	䄸
uni4139	U+4139	䄹
uni413A	U+413A	䄺
uni413B	U+413B	䄻
uni413C	U+413C	䄼
uni413D	U+413D	䄽
uni413E	U+413E	䄾
uni413F	U+413F	䄿
uni4140	U+4140	䅀
uni4141	U+4141	䅁
uni4142	U+4142	䅂
uni4143	U+4143	䅃
uni4144	U+4144	䅄
uni4145	U+4145	䅅
uni4146	U+4146	䅆
uni4147	U+4147	䅇
uni4148	U+4148	䅈
uni4149	U+4149	䅉
uni414A	U+414A	䅊
uni414B	U+414B	䅋
uni414C	U+414C	䅌
uni414D	U+414D	䅍
uni414E	U+414E	䅎
uni414F	U+414F	䅏
uni4150	U+4150	䅐
uni4151	U+4151	䅑
uni4152	U+4152	䅒
uni4153	U+4153	䅓
uni4154	U+4154	䅔
uni4155	U+4155	䅕
uni4156	U+4156	䅖
uni4157	U+4157	䅗
uni4158	U+4158	䅘
uni4159	U+4159	䅙
uni415A	U+415A	䅚
uni415B	U+415B	䅛
uni415C	U+415C	䅜
uni415D	U+415D	䅝
uni415E	U+415E	䅞
uni415F	U+415F	䅟
uni4160	U+4160	䅠
uni4161	U+4161	䅡
uni4162	U+4162	䅢
uni4163	U+4163	䅣
uni4164	U+4164	䅤
uni4165	U+4165	䅥
uni4166	U+4166	䅦
uni4167	U+4167	䅧
uni4168	U+4168	䅨
uni4169	U+4169	䅩
uni416A	U+416A	䅪
uni416B	U+416B	䅫
uni416C	U+416C	䅬
uni416D	U+416D	䅭
uni416E	U+416E	䅮
uni416F	U+416F	䅯
uni4170	U+4170	䅰
uni4171	U+4171	䅱
uni4172	U+4172	䅲
uni4173	U+4173	䅳
uni4174	U+4174	䅴
uni4175	U+4175	䅵
uni4176	U+4176	䅶
