uni2CB6F	U+2CB6F	𬭯
uni2CB73	U+2CB73	𬭳
uni2CB76	U+2CB76	𬭶
uni2CB78	U+2CB78	𬭸
uni2CB7C	U+2CB7C	𬭼
uni2CBB1	U+2CBB1	𬮱
uni2CBBF	U+2CBBF	𬮿
uni2CBC0	U+2CBC0	𬯀
uni2CBCE	U+2CBCE	𬯎
uni2CC56	U+2CC56	𬱖
uni2CC5F	U+2CC5F	𬱟
uni2CCF5	U+2CCF5	𬳵
uni2CCF6	U+2CCF6	𬳶
uni2CCFD	U+2CCFD	𬳽
uni2CCFF	U+2CCFF	𬳿
uni2CD02	U+2CD02	𬴂
uni2CD03	U+2CD03	𬴃
uni2CD0A	U+2CD0A	𬴊
uni2CD8B	U+2CD8B	𬶋
uni2CD8D	U+2CD8D	𬶍
uni2CD8F	U+2CD8F	𬶏
uni2CD90	U+2CD90	𬶐
uni2CD9F	U+2CD9F	𬶟
uni2CDA0	U+2CDA0	𬶠
uni2CDA8	U+2CDA8	𬶨
uni2CDAD	U+2CDAD	𬶭
uni2CDAE	U+2CDAE	𬶮
uni2CDD5	U+2CDD5	𬷕
uni2CE18	U+2CE18	𬸘
uni2CE1A	U+2CE1A	𬸚
uni2CE23	U+2CE23	𬸣
uni2CE26	U+2CE26	𬸦
uni2CE2A	U+2CE2A	𬸪
uni2CE7C	U+2CE7C	𬹼
uni2CE88	U+2CE88	𬺈
uni2CE93	U+2CE93	𬺓
