uni84E5	U+84E5	蓥
uni84E6	U+84E6	蓦
uni84E7	U+84E7	蓧
uni84E8	U+84E8	蓨
uni84E9	U+84E9	蓩
uni84EA	U+84EA	蓪
uni84EB	U+84EB	蓫
uni84EC	U+84EC	蓬
uni84ED	U+84ED	蓭
uni84EE	U+84EE	蓮
uni84EF	U+84EF	蓯
uni84F0	U+84F0	蓰
uni84F1	U+84F1	蓱
uni84F2	U+84F2	蓲
uni84F3	U+84F3	蓳
uni84F4	U+84F4	蓴
uni84F5	U+84F5	蓵
uni84F6	U+84F6	蓶
uni84F7	U+84F7	蓷
uni84F8	U+84F8	蓸
uni84F9	U+84F9	蓹
uni84FA	U+84FA	蓺
uni84FB	U+84FB	蓻
uni84FC	U+84FC	蓼
uni84FD	U+84FD	蓽
uni84FE	U+84FE	蓾
uni84FF	U+84FF	蓿
uni8500	U+8500	蔀
uni8501	U+8501	蔁
uni8502	U+8502	蔂
uni8503	U+8503	蔃
uni8504	U+8504	蔄
uni8505	U+8505	蔅
uni8506	U+8506	蔆
uni8507	U+8507	蔇
uni8508	U+8508	蔈
uni8509	U+8509	蔉
uni850A	U+850A	蔊
uni850B	U+850B	蔋
uni850C	U+850C	蔌
uni850D	U+850D	蔍
uni850E	U+850E	蔎
uni850F	U+850F	蔏
uni8510	U+8510	蔐
uni8511	U+8511	蔑
uni8512	U+8512	蔒
uni8513	U+8513	蔓
uni8514	U+8514	蔔
uni8515	U+8515	蔕
uni8516	U+8516	蔖
uni8517	U+8517	蔗
uni8518	U+8518	蔘
uni8519	U+8519	蔙
uni851A	U+851A	蔚
uni851B	U+851B	蔛
uni851C	U+851C	蔜
uni851D	U+851D	蔝
uni851E	U+851E	蔞
uni851F	U+851F	蔟
uni8520	U+8520	蔠
uni8521	U+8521	蔡
uni8522	U+8522	蔢
uni8523	U+8523	蔣
uni8524	U+8524	蔤
uni8525	U+8525	蔥
uni8526	U+8526	蔦
uni8527	U+8527	蔧
uni8528	U+8528	蔨
uni8529	U+8529	蔩
uni852A	U+852A	蔪
uni852B	U+852B	蔫
uni852C	U+852C	蔬
uni852D	U+852D	蔭
uni852E	U+852E	蔮
uni852F	U+852F	蔯
uni8530	U+8530	蔰
uni8531	U+8531	蔱
uni8532	U+8532	蔲
uni8533	U+8533	蔳
uni8534	U+8534	蔴
uni8535	U+8535	蔵
uni8536	U+8536	蔶
uni8537	U+8537	蔷
uni8538	U+8538	蔸
uni8539	U+8539	蔹
uni853A	U+853A	蔺
uni853B	U+853B	蔻
uni853C	U+853C	蔼
uni853D	U+853D	蔽
uni853E	U+853E	蔾
uni853F	U+853F	蔿
uni8540	U+8540	蕀
uni8541	U+8541	蕁
uni8542	U+8542	蕂
uni8543	U+8543	蕃
uni8544	U+8544	蕄
uni8545	U+8545	蕅
uni8546	U+8546	蕆
uni8547	U+8547	蕇
uni8548	U+8548	蕈
uni8549	U+8549	蕉
uni854A	U+854A	蕊
uni854B	U+854B	蕋
uni854C	U+854C	蕌
uni854D	U+854D	蕍
uni854E	U+854E	蕎
uni854F	U+854F	蕏
uni8550	U+8550	蕐
uni8551	U+8551	蕑
uni8552	U+8552	蕒
uni8553	U+8553	蕓
uni8554	U+8554	蕔
uni8555	U+8555	蕕
uni8556	U+8556	蕖
uni8557	U+8557	蕗
uni8558	U+8558	蕘
uni8559	U+8559	蕙
uni855A	U+855A	蕚
uni855B	U+855B	蕛
uni855C	U+855C	蕜
uni855D	U+855D	蕝
uni855E	U+855E	蕞
uni855F	U+855F	蕟
uni8560	U+8560	蕠
uni8561	U+8561	蕡
uni8562	U+8562	蕢
uni8563	U+8563	蕣
uni8564	U+8564	蕤
uni8565	U+8565	蕥
uni8566	U+8566	蕦
uni8567	U+8567	蕧
uni8568	U+8568	蕨
uni8569	U+8569	蕩
uni856A	U+856A	蕪
uni856B	U+856B	蕫
uni856C	U+856C	蕬
uni856D	U+856D	蕭
uni856E	U+856E	蕮
uni856F	U+856F	蕯
uni8570	U+8570	蕰
uni8571	U+8571	蕱
uni8572	U+8572	蕲
uni8573	U+8573	蕳
uni8574	U+8574	蕴
uni8575	U+8575	蕵
uni8576	U+8576	蕶
uni8577	U+8577	蕷
uni8578	U+8578	蕸
uni8579	U+8579	蕹
uni857A	U+857A	蕺
uni857B	U+857B	蕻
uni857C	U+857C	蕼
uni857D	U+857D	蕽
uni857E	U+857E	蕾
uni857F	U+857F	蕿
uni8580	U+8580	薀
uni8581	U+8581	薁
uni8582	U+8582	薂
uni8583	U+8583	薃
uni8584	U+8584	薄
uni8585	U+8585	薅
uni8586	U+8586	薆
uni8587	U+8587	薇
uni8588	U+8588	薈
uni8589	U+8589	薉
uni858A	U+858A	薊
uni858B	U+858B	薋
uni858C	U+858C	薌
uni858D	U+858D	薍
uni858E	U+858E	薎
uni858F	U+858F	薏
uni8590	U+8590	薐
uni8591	U+8591	薑
uni8592	U+8592	薒
uni8593	U+8593	薓
uni8594	U+8594	薔
uni8595	U+8595	薕
uni8596	U+8596	薖
uni8597	U+8597	薗
uni8598	U+8598	薘
uni8599	U+8599	薙
uni859A	U+859A	薚
uni859B	U+859B	薛
uni859C	U+859C	薜
uni859D	U+859D	薝
uni859E	U+859E	薞
uni859F	U+859F	薟
uni85A0	U+85A0	薠
uni85A1	U+85A1	薡
uni85A2	U+85A2	薢
uni85A3	U+85A3	薣
uni85A4	U+85A4	薤
uni85A5	U+85A5	薥
uni85A6	U+85A6	薦
uni85A7	U+85A7	薧
uni85A8	U+85A8	薨
uni85A9	U+85A9	薩
uni85AA	U+85AA	薪
uni85AB	U+85AB	薫
uni85AC	U+85AC	薬
uni85AD	U+85AD	薭
uni85AE	U+85AE	薮
uni85AF	U+85AF	薯
uni85B0	U+85B0	薰
uni85B1	U+85B1	薱
uni85B2	U+85B2	薲
uni85B3	U+85B3	薳
uni85B4	U+85B4	薴
uni85B5	U+85B5	薵
uni85B6	U+85B6	薶
uni85B7	U+85B7	薷
uni85B8	U+85B8	薸
uni85B9	U+85B9	薹
uni85BA	U+85BA	薺
uni85BB	U+85BB	薻
uni85BC	U+85BC	薼
uni85BD	U+85BD	薽
uni85BE	U+85BE	薾
uni85BF	U+85BF	薿
uni85C0	U+85C0	藀
uni85C1	U+85C1	藁
uni85C2	U+85C2	藂
uni85C3	U+85C3	藃
uni85C4	U+85C4	藄
uni85C5	U+85C5	藅
uni85C6	U+85C6	藆
uni85C7	U+85C7	藇
uni85C8	U+85C8	藈
uni85C9	U+85C9	藉
uni85CA	U+85CA	藊
uni85CB	U+85CB	藋
uni85CC	U+85CC	藌
uni85CD	U+85CD	藍
uni85CE	U+85CE	藎
uni85CF	U+85CF	藏
uni85D0	U+85D0	藐
uni85D1	U+85D1	藑
uni85D2	U+85D2	藒
uni85D3	U+85D3	藓
uni85D4	U+85D4	藔
uni85D5	U+85D5	藕
uni85D6	U+85D6	藖
uni85D7	U+85D7	藗
uni85D8	U+85D8	藘
uni85D9	U+85D9	藙
uni85DA	U+85DA	藚
uni85DB	U+85DB	藛
uni85DC	U+85DC	藜
uni85DD	U+85DD	藝
uni85DE	U+85DE	藞
uni85DF	U+85DF	藟
uni85E0	U+85E0	藠
uni85E1	U+85E1	藡
uni85E2	U+85E2	藢
uni85E3	U+85E3	藣
uni85E4	U+85E4	藤
uni85E5	U+85E5	藥
uni85E6	U+85E6	藦
uni85E7	U+85E7	藧
uni85E8	U+85E8	藨
uni85E9	U+85E9	藩
uni85EA	U+85EA	藪
uni85EB	U+85EB	藫
uni85EC	U+85EC	藬
uni85ED	U+85ED	藭
uni85EE	U+85EE	藮
uni85EF	U+85EF	藯
uni85F0	U+85F0	藰
uni85F1	U+85F1	藱
uni85F2	U+85F2	藲
uni85F3	U+85F3	藳
uni85F4	U+85F4	藴
uni85F5	U+85F5	藵
uni85F6	U+85F6	藶
uni85F7	U+85F7	藷
uni85F8	U+85F8	藸
uni85F9	U+85F9	藹
uni85FA	U+85FA	藺
uni85FB	U+85FB	藻
