uni9956	U+9956	饖
uni9957	U+9957	饗
uni9958	U+9958	饘
uni9959	U+9959	饙
uni995A	U+995A	饚
uni995B	U+995B	饛
uni995C	U+995C	饜
uni995D	U+995D	饝
uni995E	U+995E	饞
uni995F	U+995F	饟
uni9960	U+9960	饠
uni9961	U+9961	饡
uni9962	U+9962	饢
uni9964	U+9964	饤
uni9965	U+9965	饥
uni9966	U+9966	饦
uni9967	U+9967	饧
uni9968	U+9968	饨
uni9969	U+9969	饩
uni996A	U+996A	饪
uni996B	U+996B	饫
uni996C	U+996C	饬
uni996D	U+996D	饭
uni996E	U+996E	饮
uni996F	U+996F	饯
uni9970	U+9970	饰
uni9971	U+9971	饱
uni9972	U+9972	饲
uni9973	U+9973	饳
uni9974	U+9974	饴
uni9975	U+9975	饵
uni9976	U+9976	饶
uni9977	U+9977	饷
uni9978	U+9978	饸
uni9979	U+9979	饹
uni997A	U+997A	饺
uni997B	U+997B	饻
uni997C	U+997C	饼
uni997D	U+997D	饽
uni997E	U+997E	饾
uni997F	U+997F	饿
uni9980	U+9980	馀
uni9981	U+9981	馁
uni9982	U+9982	馂
uni9983	U+9983	馃
uni9984	U+9984	馄
uni9985	U+9985	馅
uni9986	U+9986	馆
uni9987	U+9987	馇
uni9988	U+9988	馈
uni9989	U+9989	馉
uni998A	U+998A	馊
uni998B	U+998B	馋
uni998C	U+998C	馌
uni998D	U+998D	馍
uni998E	U+998E	馎
uni998F	U+998F	馏
uni9990	U+9990	馐
uni9991	U+9991	馑
uni9992	U+9992	馒
uni9993	U+9993	馓
uni9994	U+9994	馔
uni9995	U+9995	馕
uni9997	U+9997	馗
uni9998	U+9998	馘
uni999A	U+999A	馚
uni999B	U+999B	馛
uni999C	U+999C	馜
uni999D	U+999D	馝
uni999E	U+999E	馞
uni999F	U+999F	馟
uni99A0	U+99A0	馠
uni99A1	U+99A1	馡
uni99A2	U+99A2	馢
uni99A3	U+99A3	馣
uni99A4	U+99A4	馤
uni99A5	U+99A5	馥
uni99A6	U+99A6	馦
uni99A7	U+99A7	馧
uni99A8	U+99A8	馨
uni99A9	U+99A9	馩
uni99AA	U+99AA	馪
uni99AB	U+99AB	馫
uni99AD	U+99AD	馭
uni99AE	U+99AE	馮
uni99AF	U+99AF	馯
uni99B0	U+99B0	馰
uni99B1	U+99B1	馱
uni99B2	U+99B2	馲
uni99B3	U+99B3	馳
uni99B4	U+99B4	馴
uni99B5	U+99B5	馵
uni99B6	U+99B6	馶
uni99B7	U+99B7	馷
uni99B8	U+99B8	馸
uni99B9	U+99B9	馹
uni99BA	U+99BA	馺
uni99BB	U+99BB	馻
uni99BC	U+99BC	馼
uni99BD	U+99BD	馽
uni99BE	U+99BE	馾
uni99BF	U+99BF	馿
uni99C0	U+99C0	駀
uni99C1	U+99C1	駁
uni99C2	U+99C2	駂
uni99C3	U+99C3	駃
uni99C4	U+99C4	駄
uni99C5	U+99C5	駅
uni99C6	U+99C6	駆
uni99C7	U+99C7	駇
uni99C8	U+99C8	駈
uni99C9	U+99C9	駉
uni99CA	U+99CA	駊
uni99CB	U+99CB	駋
uni99CC	U+99CC	駌
uni99CD	U+99CD	駍
uni99CE	U+99CE	駎
uni99CF	U+99CF	駏
uni99D0	U+99D0	駐
uni99D1	U+99D1	駑
uni99D2	U+99D2	駒
uni99D3	U+99D3	駓
uni99D4	U+99D4	駔
uni99D5	U+99D5	駕
uni99D6	U+99D6	駖
uni99D7	U+99D7	駗
uni99D8	U+99D8	駘
uni99D9	U+99D9	駙
uni99DA	U+99DA	駚
uni99DB	U+99DB	駛
uni99DC	U+99DC	駜
uni99DD	U+99DD	駝
uni99DE	U+99DE	駞
uni99DF	U+99DF	駟
uni99E0	U+99E0	駠
uni99E1	U+99E1	駡
uni99E2	U+99E2	駢
uni99E3	U+99E3	駣
uni99E4	U+99E4	駤
uni99E5	U+99E5	駥
uni99E6	U+99E6	駦
uni99E7	U+99E7	駧
uni99E8	U+99E8	駨
uni99E9	U+99E9	駩
uni99EA	U+99EA	駪
uni99EB	U+99EB	駫
uni99EC	U+99EC	駬
uni99ED	U+99ED	駭
uni99EE	U+99EE	駮
uni99EF	U+99EF	駯
uni99F0	U+99F0	駰
uni99F1	U+99F1	駱
uni99F2	U+99F2	駲
uni99F3	U+99F3	駳
uni99F4	U+99F4	駴
uni99F5	U+99F5	駵
uni99F6	U+99F6	駶
uni99F7	U+99F7	駷
uni99F8	U+99F8	駸
uni99F9	U+99F9	駹
uni99FA	U+99FA	駺
uni99FB	U+99FB	駻
uni99FC	U+99FC	駼
uni99FD	U+99FD	駽
uni99FE	U+99FE	駾
uni99FF	U+99FF	駿
uni9A00	U+9A00	騀
uni9A01	U+9A01	騁
uni9A02	U+9A02	騂
uni9A03	U+9A03	騃
uni9A04	U+9A04	騄
uni9A05	U+9A05	騅
uni9A06	U+9A06	騆
uni9A07	U+9A07	騇
uni9A08	U+9A08	騈
uni9A09	U+9A09	騉
uni9A0A	U+9A0A	騊
uni9A0B	U+9A0B	騋
uni9A0C	U+9A0C	騌
uni9A0D	U+9A0D	騍
uni9A0E	U+9A0E	騎
uni9A0F	U+9A0F	騏
uni9A10	U+9A10	騐
uni9A11	U+9A11	騑
uni9A12	U+9A12	騒
uni9A13	U+9A13	験
uni9A14	U+9A14	騔
uni9A15	U+9A15	騕
uni9A16	U+9A16	騖
uni9A17	U+9A17	騗
uni9A18	U+9A18	騘
uni9A19	U+9A19	騙
uni9A1A	U+9A1A	騚
uni9A1B	U+9A1B	騛
uni9A1C	U+9A1C	騜
uni9A1D	U+9A1D	騝
uni9A1E	U+9A1E	騞
uni9A1F	U+9A1F	騟
uni9A20	U+9A20	騠
uni9A21	U+9A21	騡
uni9A22	U+9A22	騢
uni9A23	U+9A23	騣
uni9A24	U+9A24	騤
uni9A25	U+9A25	騥
uni9A26	U+9A26	騦
uni9A27	U+9A27	騧
uni9A28	U+9A28	騨
uni9A29	U+9A29	騩
uni9A2A	U+9A2A	騪
uni9A2B	U+9A2B	騫
uni9A2C	U+9A2C	騬
uni9A2D	U+9A2D	騭
uni9A2E	U+9A2E	騮
uni9A2F	U+9A2F	騯
uni9A30	U+9A30	騰
uni9A31	U+9A31	騱
uni9A32	U+9A32	騲
uni9A33	U+9A33	騳
uni9A34	U+9A34	騴
uni9A35	U+9A35	騵
uni9A36	U+9A36	騶
uni9A37	U+9A37	騷
uni9A38	U+9A38	騸
uni9A39	U+9A39	騹
uni9A3A	U+9A3A	騺
uni9A3B	U+9A3B	騻
uni9A3C	U+9A3C	騼
uni9A3D	U+9A3D	騽
uni9A3E	U+9A3E	騾
uni9A3F	U+9A3F	騿
uni9A40	U+9A40	驀
uni9A41	U+9A41	驁
uni9A42	U+9A42	驂
uni9A43	U+9A43	驃
uni9A44	U+9A44	驄
uni9A45	U+9A45	驅
uni9A46	U+9A46	驆
uni9A47	U+9A47	驇
uni9A48	U+9A48	驈
uni9A49	U+9A49	驉
uni9A4A	U+9A4A	驊
uni9A4B	U+9A4B	驋
uni9A4C	U+9A4C	驌
uni9A4D	U+9A4D	驍
uni9A4E	U+9A4E	驎
uni9A4F	U+9A4F	驏
uni9A50	U+9A50	驐
uni9A51	U+9A51	驑
uni9A52	U+9A52	驒
uni9A53	U+9A53	驓
uni9A54	U+9A54	驔
uni9A55	U+9A55	驕
uni9A56	U+9A56	驖
uni9A57	U+9A57	驗
uni9A58	U+9A58	驘
uni9A59	U+9A59	驙
uni9A5A	U+9A5A	驚
uni9A5B	U+9A5B	驛
uni9A5C	U+9A5C	驜
uni9A5D	U+9A5D	驝
uni9A5E	U+9A5E	驞
uni9A5F	U+9A5F	驟
uni9A60	U+9A60	驠
uni9A61	U+9A61	驡
uni9A62	U+9A62	驢
uni9A63	U+9A63	驣
uni9A64	U+9A64	驤
uni9A65	U+9A65	驥
uni9A66	U+9A66	驦
uni9A67	U+9A67	驧
uni9A68	U+9A68	驨
uni9A69	U+9A69	驩
uni9A6A	U+9A6A	驪
uni9A6B	U+9A6B	驫
uni9A6D	U+9A6D	驭
uni9A6E	U+9A6E	驮
uni9A6F	U+9A6F	驯
uni9A70	U+9A70	驰
uni9A71	U+9A71	驱
uni9A72	U+9A72	驲
uni9A73	U+9A73	驳
uni9A74	U+9A74	驴
uni9A75	U+9A75	驵
uni9A76	U+9A76	驶
uni9A77	U+9A77	驷
uni9A78	U+9A78	驸
uni9A79	U+9A79	驹
uni9A7A	U+9A7A	驺
uni9A7B	U+9A7B	驻
uni9A7C	U+9A7C	驼
uni9A7D	U+9A7D	驽
uni9A7E	U+9A7E	驾
uni9A7F	U+9A7F	驿
uni9A80	U+9A80	骀
uni9A81	U+9A81	骁
uni9A82	U+9A82	骂
uni9A83	U+9A83	骃
uni9A84	U+9A84	骄
uni9A85	U+9A85	骅
uni9A86	U+9A86	骆
uni9A87	U+9A87	骇
uni9A88	U+9A88	骈
uni9A89	U+9A89	骉
uni9A8A	U+9A8A	骊
uni9A8B	U+9A8B	骋
uni9A8C	U+9A8C	验
uni9A8D	U+9A8D	骍
uni9A8E	U+9A8E	骎
uni9A8F	U+9A8F	骏
uni9A90	U+9A90	骐
uni9A91	U+9A91	骑
