uni64A1	U+64A1	撡
uni64A2	U+64A2	撢
uni64A3	U+64A3	撣
uni64A4	U+64A4	撤
uni64A5	U+64A5	撥
uni64A6	U+64A6	撦
uni64A7	U+64A7	撧
uni64A8	U+64A8	撨
uni64A9	U+64A9	撩
uni64AA	U+64AA	撪
uni64AB	U+64AB	撫
uni64AC	U+64AC	撬
uni64AD	U+64AD	播
uni64AE	U+64AE	撮
uni64AF	U+64AF	撯
uni64B0	U+64B0	撰
uni64B1	U+64B1	撱
uni64B2	U+64B2	撲
uni64B3	U+64B3	撳
uni64B4	U+64B4	撴
uni64B5	U+64B5	撵
uni64B6	U+64B6	撶
uni64B7	U+64B7	撷
uni64B8	U+64B8	撸
uni64B9	U+64B9	撹
uni64BA	U+64BA	撺
uni64BB	U+64BB	撻
uni64BC	U+64BC	撼
uni64BD	U+64BD	撽
uni64BE	U+64BE	撾
uni64BF	U+64BF	撿
uni64C0	U+64C0	擀
uni64C1	U+64C1	擁
uni64C2	U+64C2	擂
uni64C3	U+64C3	擃
uni64C4	U+64C4	擄
uni64C5	U+64C5	擅
uni64C6	U+64C6	擆
uni64C7	U+64C7	擇
uni64C8	U+64C8	擈
uni64C9	U+64C9	擉
uni64CA	U+64CA	擊
uni64CB	U+64CB	擋
uni64CC	U+64CC	擌
uni64CD	U+64CD	操
uni64CE	U+64CE	擎
uni64CF	U+64CF	擏
uni64D0	U+64D0	擐
uni64D1	U+64D1	擑
uni64D2	U+64D2	擒
uni64D3	U+64D3	擓
uni64D4	U+64D4	擔
uni64D5	U+64D5	擕
uni64D6	U+64D6	擖
uni64D7	U+64D7	擗
uni64D8	U+64D8	擘
uni64D9	U+64D9	擙
uni64DA	U+64DA	據
uni64DB	U+64DB	擛
uni64DC	U+64DC	擜
uni64DD	U+64DD	擝
uni64DE	U+64DE	擞
uni64DF	U+64DF	擟
uni64E0	U+64E0	擠
uni64E1	U+64E1	擡
uni64E2	U+64E2	擢
uni64E3	U+64E3	擣
uni64E4	U+64E4	擤
uni64E5	U+64E5	擥
uni64E6	U+64E6	擦
uni64E7	U+64E7	擧
uni64E8	U+64E8	擨
uni64E9	U+64E9	擩
uni64EA	U+64EA	擪
uni64EB	U+64EB	擫
uni64EC	U+64EC	擬
uni64ED	U+64ED	擭
uni64EE	U+64EE	擮
uni64EF	U+64EF	擯
uni64F0	U+64F0	擰
uni64F1	U+64F1	擱
uni64F2	U+64F2	擲
uni64F3	U+64F3	擳
uni64F4	U+64F4	擴
uni64F5	U+64F5	擵
uni64F6	U+64F6	擶
uni64F7	U+64F7	擷
uni64F8	U+64F8	擸
uni64F9	U+64F9	擹
uni64FA	U+64FA	擺
uni64FB	U+64FB	擻
uni64FC	U+64FC	擼
uni64FD	U+64FD	擽
uni64FE	U+64FE	擾
uni64FF	U+64FF	擿
uni6500	U+6500	攀
uni6501	U+6501	攁
uni6502	U+6502	攂
uni6503	U+6503	攃
uni6504	U+6504	攄
uni6505	U+6505	攅
uni6506	U+6506	攆
uni6507	U+6507	攇
uni6508	U+6508	攈
uni6509	U+6509	攉
uni650A	U+650A	攊
uni650B	U+650B	攋
uni650C	U+650C	攌
uni650D	U+650D	攍
uni650E	U+650E	攎
uni650F	U+650F	攏
uni6510	U+6510	攐
uni6511	U+6511	攑
uni6512	U+6512	攒
uni6513	U+6513	攓
uni6514	U+6514	攔
uni6515	U+6515	攕
uni6516	U+6516	攖
uni6517	U+6517	攗
uni6518	U+6518	攘
uni6519	U+6519	攙
uni651A	U+651A	攚
uni651B	U+651B	攛
uni651C	U+651C	攜
uni651D	U+651D	攝
uni651E	U+651E	攞
uni651F	U+651F	攟
uni6520	U+6520	攠
uni6521	U+6521	攡
uni6522	U+6522	攢
uni6523	U+6523	攣
uni6524	U+6524	攤
uni6525	U+6525	攥
uni6526	U+6526	攦
uni6527	U+6527	攧
uni6528	U+6528	攨
uni6529	U+6529	攩
uni652A	U+652A	攪
uni652B	U+652B	攫
uni652C	U+652C	攬
uni652D	U+652D	攭
uni652E	U+652E	攮
uni6530	U+6530	攰
uni6531	U+6531	攱
uni6532	U+6532	攲
uni6533	U+6533	攳
uni6536	U+6536	收
uni6537	U+6537	攷
uni6538	U+6538	攸
uni6539	U+6539	改
uni653A	U+653A	攺
uni653B	U+653B	攻
uni653C	U+653C	攼
uni653D	U+653D	攽
uni653E	U+653E	放
uni653F	U+653F	政
uni6540	U+6540	敀
uni6541	U+6541	敁
uni6542	U+6542	敂
uni6543	U+6543	敃
uni6544	U+6544	敄
uni6545	U+6545	故
uni6546	U+6546	敆
uni6547	U+6547	敇
uni6548	U+6548	效
uni6549	U+6549	敉
uni654A	U+654A	敊
uni654B	U+654B	敋
uni654C	U+654C	敌
uni654D	U+654D	敍
uni654E	U+654E	敎
uni654F	U+654F	敏
uni6550	U+6550	敐
uni6551	U+6551	救
uni6552	U+6552	敒
uni6553	U+6553	敓
uni6554	U+6554	敔
uni6555	U+6555	敕
uni6556	U+6556	敖
uni6557	U+6557	敗
uni6558	U+6558	敘
uni6559	U+6559	教
uni655A	U+655A	敚
uni655B	U+655B	敛
uni655C	U+655C	敜
uni655D	U+655D	敝
uni655E	U+655E	敞
uni655F	U+655F	敟
uni6560	U+6560	敠
uni6561	U+6561	敡
uni6562	U+6562	敢
uni6563	U+6563	散
uni6564	U+6564	敤
uni6565	U+6565	敥
uni6566	U+6566	敦
uni6567	U+6567	敧
uni6568	U+6568	敨
uni6569	U+6569	敩
uni656A	U+656A	敪
uni656B	U+656B	敫
uni656C	U+656C	敬
uni656D	U+656D	敭
uni656E	U+656E	敮
uni656F	U+656F	敯
uni6570	U+6570	数
uni6571	U+6571	敱
uni6572	U+6572	敲
uni6573	U+6573	敳
uni6574	U+6574	整
uni6575	U+6575	敵
uni6576	U+6576	敶
uni6577	U+6577	敷
uni6578	U+6578	數
uni6579	U+6579	敹
uni657A	U+657A	敺
uni657B	U+657B	敻
uni657C	U+657C	敼
uni657D	U+657D	敽
uni657E	U+657E	敾
uni657F	U+657F	敿
uni6580	U+6580	斀
uni6581	U+6581	斁
uni6582	U+6582	斂
uni6583	U+6583	斃
uni6584	U+6584	斄
uni6585	U+6585	斅
uni6586	U+6586	斆
uni6588	U+6588	斈
uni658A	U+658A	斊
uni658B	U+658B	斋
uni658C	U+658C	斌
uni658D	U+658D	斍
uni658E	U+658E	斎
uni658F	U+658F	斏
uni6590	U+6590	斐
uni6591	U+6591	斑
uni6592	U+6592	斒
uni6593	U+6593	斓
uni6594	U+6594	斔
uni6595	U+6595	斕
uni6596	U+6596	斖
uni6598	U+6598	斘
uni6599	U+6599	料
uni659A	U+659A	斚
uni659B	U+659B	斛
uni659C	U+659C	斜
uni659D	U+659D	斝
uni659E	U+659E	斞
uni659F	U+659F	斟
uni65A0	U+65A0	斠
uni65A1	U+65A1	斡
uni65A2	U+65A2	斢
uni65A3	U+65A3	斣
uni65A5	U+65A5	斥
uni65A6	U+65A6	斦
uni65A7	U+65A7	斧
uni65A8	U+65A8	斨
uni65A9	U+65A9	斩
uni65AA	U+65AA	斪
uni65AB	U+65AB	斫
uni65AC	U+65AC	斬
uni65AD	U+65AD	断
uni65AE	U+65AE	斮
uni65AF	U+65AF	斯
uni65B0	U+65B0	新
uni65B1	U+65B1	斱
uni65B2	U+65B2	斲
uni65B3	U+65B3	斳
uni65B4	U+65B4	斴
uni65B5	U+65B5	斵
uni65B6	U+65B6	斶
uni65B7	U+65B7	斷
uni65B8	U+65B8	斸
uni65BA	U+65BA	斺
uni65BB	U+65BB	斻
uni65BC	U+65BC	於
uni65BD	U+65BD	施
uni65BE	U+65BE	斾
uni65BF	U+65BF	斿
uni65C0	U+65C0	旀
uni65C1	U+65C1	旁
uni65C2	U+65C2	旂
uni65C3	U+65C3	旃
uni65C4	U+65C4	旄
uni65C5	U+65C5	旅
uni65C6	U+65C6	旆
uni65C7	U+65C7	旇
uni65C8	U+65C8	旈
uni65C9	U+65C9	旉
uni65CA	U+65CA	旊
uni65CB	U+65CB	旋
uni65CC	U+65CC	旌
uni65CD	U+65CD	旍
uni65CE	U+65CE	旎
uni65CF	U+65CF	族
uni65D0	U+65D0	旐
uni65D1	U+65D1	旑
uni65D2	U+65D2	旒
uni65D3	U+65D3	旓
uni65D4	U+65D4	旔
uni65D5	U+65D5	旕
uni65D6	U+65D6	旖
uni65D7	U+65D7	旗
uni65D8	U+65D8	旘
uni65D9	U+65D9	旙
uni65DA	U+65DA	旚
uni65DB	U+65DB	旛
uni65DC	U+65DC	旜
uni65DD	U+65DD	旝
uni65DE	U+65DE	旞
uni65DF	U+65DF	旟
uni65E2	U+65E2	既
uni65E3	U+65E3	旣
uni65E4	U+65E4	旤
uni65E6	U+65E6	旦
uni65E7	U+65E7	旧
uni65E8	U+65E8	旨
uni65E9	U+65E9	早
uni65EA	U+65EA	旪
uni65EB	U+65EB	旫
uni65EC	U+65EC	旬
uni65ED	U+65ED	旭
uni65EE	U+65EE	旮
uni65EF	U+65EF	旯
uni65F0	U+65F0	旰
uni65F1	U+65F1	旱
uni65F2	U+65F2	旲
uni65F3	U+65F3	旳
uni65F4	U+65F4	旴
uni65F5	U+65F5	旵
uni65F6	U+65F6	时
uni65F7	U+65F7	旷
uni65F8	U+65F8	旸
uni65F9	U+65F9	旹
uni65FA	U+65FA	旺
uni65FB	U+65FB	旻
uni65FC	U+65FC	旼
uni65FD	U+65FD	旽
uni65FE	U+65FE	旾
uni65FF	U+65FF	旿
uni6600	U+6600	昀
uni6601	U+6601	昁
uni6602	U+6602	昂
uni6603	U+6603	昃
uni6604	U+6604	昄
uni6605	U+6605	昅
uni6606	U+6606	昆
uni6607	U+6607	昇
uni6608	U+6608	昈
uni6609	U+6609	昉
uni660A	U+660A	昊
uni660B	U+660B	昋
uni660C	U+660C	昌
uni660D	U+660D	昍
uni660E	U+660E	明
uni660F	U+660F	昏
uni6610	U+6610	昐
uni6611	U+6611	昑
uni6612	U+6612	昒
uni6613	U+6613	易
uni6614	U+6614	昔
uni6615	U+6615	昕
uni6616	U+6616	昖
uni6617	U+6617	昗
uni6618	U+6618	昘
uni6619	U+6619	昙
uni661A	U+661A	昚
uni661B	U+661B	昛
uni661C	U+661C	昜
uni661D	U+661D	昝
uni661E	U+661E	昞
uni661F	U+661F	星
uni6620	U+6620	映
uni6621	U+6621	昡
uni6622	U+6622	昢
uni6623	U+6623	昣
uni6624	U+6624	昤
uni6625	U+6625	春
uni6626	U+6626	昦
uni6627	U+6627	昧
uni6628	U+6628	昨
uni6629	U+6629	昩
uni662A	U+662A	昪
uni662B	U+662B	昫
uni662C	U+662C	昬
uni662D	U+662D	昭
uni662E	U+662E	昮
uni662F	U+662F	是
uni6630	U+6630	昰
uni6631	U+6631	昱
uni6632	U+6632	昲
uni6633	U+6633	昳
uni6634	U+6634	昴
uni6635	U+6635	昵
uni6636	U+6636	昶
uni6637	U+6637	昷
uni6638	U+6638	昸
uni6639	U+6639	昹
uni663A	U+663A	昺
uni663B	U+663B	昻
uni663C	U+663C	昼
uni663D	U+663D	昽
uni663E	U+663E	显
uni663F	U+663F	昿
uni6640	U+6640	晀
uni6641	U+6641	晁
uni6642	U+6642	時
uni6643	U+6643	晃
uni6644	U+6644	晄
uni6645	U+6645	晅
uni6646	U+6646	晆
uni6647	U+6647	晇
uni6648	U+6648	晈
uni6649	U+6649	晉
uni664A	U+664A	晊
uni664B	U+664B	晋
uni664C	U+664C	晌
uni664D	U+664D	晍
uni664E	U+664E	晎
uni664F	U+664F	晏
uni6650	U+6650	晐
uni6651	U+6651	晑
uni6652	U+6652	晒
uni6653	U+6653	晓
uni6654	U+6654	晔
uni6655	U+6655	晕
uni6656	U+6656	晖
uni6657	U+6657	晗
uni6658	U+6658	晘
uni6659	U+6659	晙
uni665A	U+665A	晚
uni665B	U+665B	晛
uni665C	U+665C	晜
uni665D	U+665D	晝
uni665E	U+665E	晞
uni665F	U+665F	晟
uni6660	U+6660	晠
uni6661	U+6661	晡
