glyph65242	U+3096	ゖ
glyph65245	U+309D	ゝ
glyph65246	U+309E	ゞ
glyph65247	U+309F	ゟ
glyph65249	U+30A1	ァ
glyph65250	U+30A2	ア
glyph65251	U+30A3	ィ
glyph65252	U+30A4	イ
glyph65253	U+30A5	ゥ
glyph65254	U+30A6	ウ
glyph65255	U+30A7	ェ
glyph65256	U+30A8	エ
glyph65257	U+30A9	ォ
glyph65258	U+30AA	オ
glyph65259	U+30AB	カ
glyph65260	U+30AC	ガ
glyph65261	U+30AD	キ
glyph65262	U+30AE	ギ
glyph65263	U+30AF	ク
glyph65264	U+30B0	グ
glyph65265	U+30B1	ケ
glyph65266	U+30B2	ゲ
glyph65267	U+30B3	コ
glyph65268	U+30B4	ゴ
glyph65269	U+30B5	サ
glyph65270	U+30B6	ザ
glyph65271	U+30B7	シ
glyph65272	U+30B8	ジ
glyph65273	U+30B9	ス
glyph65274	U+30BA	ズ
glyph65275	U+30BB	セ
glyph65276	U+30BC	ゼ
glyph65277	U+30BD	ソ
glyph65278	U+30BE	ゾ
glyph65279	U+30BF	タ
glyph65280	U+30C0	ダ
glyph65281	U+30C1	チ
glyph65282	U+30C2	ヂ
glyph65283	U+30C3	ッ
glyph65284	U+30C4	ツ
glyph65285	U+30C5	ヅ
glyph65286	U+30C6	テ
glyph65287	U+30C7	デ
glyph65288	U+30C8	ト
glyph65289	U+30C9	ド
glyph65290	U+30CA	ナ
glyph65291	U+30CB	ニ
glyph65292	U+30CC	ヌ
glyph65293	U+30CD	ネ
glyph65294	U+30CE	ノ
glyph65295	U+30CF	ハ
glyph65296	U+30D0	バ
glyph65297	U+30D1	パ
glyph65298	U+30D2	ヒ
glyph65299	U+30D3	ビ
glyph65300	U+30D4	ピ
glyph65301	U+30D5	フ
glyph65302	U+30D6	ブ
glyph65303	U+30D7	プ
glyph65304	U+30D8	ヘ
glyph65305	U+30D9	ベ
glyph65306	U+30DA	ペ
glyph65307	U+30DB	ホ
glyph65308	U+30DC	ボ
glyph65309	U+30DD	ポ
glyph65310	U+30DE	マ
glyph65311	U+30DF	ミ
glyph65312	U+30E0	ム
glyph65313	U+30E1	メ
glyph65314	U+30E2	モ
glyph65315	U+30E3	ャ
glyph65316	U+30E4	ヤ
glyph65317	U+30E5	ュ
glyph65318	U+30E6	ユ
glyph65319	U+30E7	ョ
glyph65320	U+30E8	ヨ
glyph65321	U+30E9	ラ
glyph65322	U+30EA	リ
glyph65323	U+30EB	ル
glyph65324	U+30EC	レ
glyph65325	U+30ED	ロ
glyph65326	U+30EE	ヮ
glyph65327	U+30EF	ワ
glyph65328	U+30F0	ヰ
glyph65329	U+30F1	ヱ
glyph65330	U+30F2	ヲ
glyph65331	U+30F3	ン
glyph65332	U+30F4	ヴ
glyph65333	U+30F5	ヵ
glyph65334	U+30F6	ヶ
glyph65335	U+30F7	ヷ
glyph65336	U+30F8	ヸ
glyph65337	U+30F9	ヹ
glyph65338	U+30FA	ヺ
glyph65339	U+30FC	ー
glyph65340	U+30FD	ヽ
glyph65341	U+30FE	ヾ
glyph65343	U+31F0	ㇰ
glyph65344	U+31F1	ㇱ
glyph65345	U+31F2	ㇲ
glyph65346	U+31F3	ㇳ
glyph65347	U+31F4	ㇴ
glyph65348	U+31F5	ㇵ
glyph65349	U+31F6	ㇶ
glyph65350	U+31F7	ㇷ
glyph65351	U+31F8	ㇸ
glyph65352	U+31F9	ㇹ
glyph65353	U+31FA	ㇺ
glyph65354	U+31FB	ㇻ
glyph65355	U+31FC	ㇼ
glyph65356	U+31FD	ㇽ
glyph65357	U+31FE	ㇾ
glyph65358	U+31FF	ㇿ
uni3005	U+3005	々
uni3006	U+3006	〆
glyph65149	U+3006	〆
uni3007	U+3007	〇
uni301C	U+301C	〜
uni3012	U+3012	〒
uni3013	U+3013	〓
uni3020	U+3020	〠
uni3021	U+3021	〡
uni3022	U+3022	〢
uni3023	U+3023	〣
uni3024	U+3024	〤
uni3025	U+3025	〥
uni3026	U+3026	〦
uni3027	U+3027	〧
uni3028	U+3028	〨
uni3029	U+3029	〩
uni3030	U+3030	〰
uni3036	U+3036	〶
uni3037	U+3037	〷
uni3038	U+3038	〸
uni3039	U+3039	〹
uni303A	U+303A	〺
uni303B	U+303B	〻
uni303C	U+303C	〼
uni303D	U+303D	〽
uni303E	U+303E	〾
uniFE17	U+FE17	︗
uniFE18	U+FE18	︘
uniFE35	U+FE35	︵
uniFE36	U+FE36	︶
uniFE37	U+FE37	︷
uniFE38	U+FE38	︸
uniFE39	U+FE39	︹
uniFE3A	U+FE3A	︺
uniFE3B	U+FE3B	︻
uniFE3C	U+FE3C	︼
uniFE3D	U+FE3D	︽
uniFE3E	U+FE3E	︾
uniFE3F	U+FE3F	︿
uniFE40	U+FE40	﹀
uniFE41	U+FE41	﹁
uniFE42	U+FE42	﹂
uniFE43	U+FE43	﹃
uniFE44	U+FE44	﹄
uniFE47	U+FE47	﹇
uniFE48	U+FE48	﹈
uniFF03	U+FF03	＃
uniFF04	U+FF04	＄
uniFF05	U+FF05	％
uniFF06	U+FF06	＆
uniFF0A	U+FF0A	＊
uniFF0B	U+FF0B	＋
uniFF0D	U+FF0D	－
uni2215	U+FF0F	／
uniFF10	U+FF10	０
uniFF11	U+FF11	１
uniFF12	U+FF12	２
uniFF13	U+FF13	３
uniFF14	U+FF14	４
uniFF15	U+FF15	５
uniFF16	U+FF16	６
uniFF17	U+FF17	７
uniFF18	U+FF18	８
uniFF19	U+FF19	９
uniFF1C	U+FF1C	＜
uniFF1D	U+FF1D	＝
uniFF1E	U+FF1E	＞
uniFF20	U+FF20	＠
uniFF3C	U+FF3C	＼
uniFFE0	U+FFE0	￠
uniFFE1	U+FFE1	￡
uniFFE5	U+FFE5	￥
uniFFE6	U+FFE6	￦
glyph63167	U+FF03	＃
glyph63168	U+FF04	＄
glyph63169	U+FF05	％
glyph63170	U+FF06	＆
glyph63174	U+FF0A	＊
glyph63175	U+FF0B	＋
glyph63177	U+FF0D	－
glyph63179	U+FF0F	／
glyph63180	U+FF10	０
glyph63181	U+FF11	１
glyph63182	U+FF12	２
glyph63183	U+FF13	３
glyph63184	U+FF14	４
glyph63185	U+FF15	５
glyph63186	U+FF16	６
glyph63187	U+FF17	７
glyph63188	U+FF18	８
glyph63189	U+FF19	９
glyph63192	U+FF1C	＜
glyph63193	U+FF1D	＝
glyph63194	U+FF1E	＞
glyph63196	U+FF20	＠
glyph63224	U+FF3C	＼
glyph63259	U+FFE5	￥
glyph63260	U+FFE6	￦
