U+59AF	妯
U+59D7	姗
U+5E11	帑
U+5F29	弩
U+5B65	孥
U+9A7D	驽
U+8671	虱
U+8FE6	迦
U+8FE8	迨
U+7EC0	绀
U+7EC1	绁
U+7EC2	绂
U+9A77	驷
U+9A78	驸
U+7EC9	绉
U+7ECC	绌
U+9A7F	驿
U+9A80	骀
U+753E	甾
U+73CF	珏
U+73D0	珐
U+73C2	珂
U+73D1	珑
U+73B3	玳
U+73C0	珀
U+9878	顸
U+73C9	珉
U+73C8	珈
U+62EE	拮
U+57AD	垭
U+631D	挝
U+57A3	垣
U+631E	挞
U+57A4	垤
U+8D73	赳
U+8D32	贲
U+57B1	垱
U+578C	垌
U+90DD	郝
U+57A7	垧
U+5793	垓
U+6326	挦
U+57A0	垠
U+831C	茜
U+835A	荚
U+8351	荑
U+8D33	贳
U+835C	荜
U+8392	莒
U+833C	茼
U+8334	茴
U+8331	茱
U+839B	莛
U+835E	荞
U+832F	茯
U+834F	荏
U+8347	荇
U+8343	荃
U+835F	荟
U+8340	荀
U+8317	茗
U+8360	荠
U+832D	茭
U+8328	茨
U+57A9	垩
U+8365	荥
U+8366	荦
U+8368	荨
U+8369	荩
U+524B	剋
U+836A	荪
U+8339	茹
U+836C	荬
U+836E	荮
U+67F0	柰
U+6809	栉
U+67EF	柯
U+67D8	柘
U+680A	栊
U+67E9	柩
U+67B0	枰
U+680C	栌
U+67D9	柙
U+67B5	枵
U+67DA	柚
U+67B3	枳
U+67DE	柞
U+67DD	柝
U+6800	栀
U+67E2	柢
U+680E	栎
U+67B8	枸
U+67C8	柈
U+67C1	柁
U+67B7	枷
U+67FD	柽
U+524C	剌
U+914A	酊
U+90E6	郦
U+752D	甭
U+7817	砗
U+7818	砘
U+7812	砒
U+65AB	斫
U+782D	砭
U+781C	砜
U+594E	奎
U+8037	耷
U+867A	虺
U+6B82	殂
U+6B87	殇
U+6B84	殄
U+6B86	殆
U+8F71	轱
U+8F72	轲
U+8F73	轳
U+8F76	轶
U+8F78	轸
U+867F	虿
U+6BD6	毖
U+89C7	觇
U+5C1C	尜
U+54D0	哐
U+7704	眄
U+770D	眍
U+20CD0	𠳐
U+90E2	郢
U+7707	眇
U+770A	眊
U+7708	眈
U+79BA	禺
U+54C2	哂
U+54B4	咴
U+66F7	曷
U+6634	昴
U+6631	昱
U+6635	昵
U+54A6	咦
U+54D3	哓
U+54D4	哔
U+754E	畎
U+6BD7	毗
U+5472	呲
U+80C4	胄
U+754B	畋
U+7548	畈
U+867C	虼
U+867B	虻
U+76C5	盅
U+54A3	咣
U+54D5	哕
U+5250	剐
U+90E7	郧
U+54BB	咻
U+56FF	囿
U+54BF	咿
U+54CC	哌
U+54D9	哙
U+54DA	哚
U+54AF	咯
U+54A9	咩
