U+20BA8	𠮨
U+20BA9	𠮩
U+20BB7	𠮷
U+20BBF	𠮿
U+20BC6	𠯆
U+20BCB	𠯋
U+20BE2	𠯢
U+20BEB	𠯫
U+20BFB	𠯻
U+20BFF	𠯿
U+20C0B	𠰋
U+20C0D	𠰍
U+20C20	𠰠
U+20C34	𠰴
U+20C3A	𠰺
U+20C3B	𠰻
U+20C41	𠱁
U+20C42	𠱂
U+20C43	𠱃
U+20C53	𠱓
U+20C65	𠱥
U+20C77	𠱷
U+20C78	𠱸
U+20C7C	𠱼
U+20C8D	𠲍
U+20C96	𠲖
U+20C9C	𠲜
U+20CB5	𠲵
U+20CB8	𠲸
U+20CCF	𠳏
U+20CD3	𠳓
U+20CD4	𠳔
U+20CD5	𠳕
U+20CD6	𠳖
U+20CDD	𠳝
U+20CED	𠳭
U+20CFF	𠳿
U+20D15	𠴕
U+20D28	𠴨
U+20D31	𠴱
U+20D32	𠴲
U+20D45	𠵅
U+20D46	𠵆
U+20D47	𠵇
U+20D48	𠵈
U+20D49	𠵉
U+20D4C	𠵌
U+20D4D	𠵍
U+20D4E	𠵎
U+20D58	𠵘
U+20D6F	𠵯
U+20D71	𠵱
U+20D74	𠵴
U+20D7C	𠵼
U+20D7E	𠵾
U+20D7F	𠵿
U+20D96	𠶖
U+20D9C	𠶜
U+20DA7	𠶧
U+20DB2	𠶲
U+20DC8	𠷈
U+20DE1	𠷡
U+20E04	𠸄
U+20E09	𠸉
U+20E0A	𠸊
U+20E0D	𠸍
U+20E0E	𠸎
U+20E0F	𠸏
U+20E10	𠸐
U+20E11	𠸑
U+20E16	𠸖
U+20E1D	𠸝
U+20E4C	𠹌
U+20E64	𠹤
U+20E6D	𠹭
U+20E73	𠹳
U+20E75	𠹵
U+20E76	𠹶
U+20E77	𠹷
U+20E78	𠹸
U+20E79	𠹹
U+20E7A	𠹺
U+20E7B	𠹻
U+20E8C	𠺌
U+20E95	𠺕
U+20E96	𠺖
U+20E98	𠺘
U+20E9D	𠺝
U+20EA2	𠺢
U+20EAA	𠺪
U+20EAB	𠺫
U+20EAC	𠺬
U+20EB6	𠺶
U+20ED7	𠻗
U+20ED8	𠻘
U+20EDD	𠻝
U+20EF8	𠻸
U+20EF9	𠻹
U+20EFA	𠻺
U+20EFB	𠻻
U+20F1D	𠼝
U+20F26	𠼦
U+20F2D	𠼭
U+20F2E	𠼮
U+20F30	𠼰
U+20F31	𠼱
U+20F3B	𠼻
U+20F4C	𠽌
U+20F5F	𠽟
U+20F64	𠽤
U+20F8D	𠾍
U+20F90	𠾐
U+20FAD	𠾭
U+20FB4	𠾴
U+20FB5	𠾵
U+20FB6	𠾶
U+20FBC	𠾼
U+20FDF	𠿟
U+20FEA	𠿪
U+20FEB	𠿫
U+20FEC	𠿬
U+20FED	𠿭
U+21014	𡀔
U+2101D	𡀝
U+2101E	𡀞
U+2104F	𡁏
U+2105C	𡁜
U+2106F	𡁯
U+21075	𡁵
U+21076	𡁶
U+21077	𡁷
U+21078	𡁸
U+2107B	𡁻
U+21088	𡂈
U+21096	𡂖
U+2109D	𡂝
U+210B4	𡂴
U+210BF	𡂿
U+210C0	𡃀
U+210C1	𡃁
U+210C7	𡃇
U+210C8	𡃈
U+210C9	𡃉
U+210CF	𡃏
U+210D3	𡃓
U+210E4	𡃤
U+210F4	𡃴
U+210F5	𡃵
U+210F6	𡃶
U+2112F	𡄯
U+2113B	𡄻
U+2113D	𡄽
U+21145	𡅅
U+21148	𡅈
U+2114F	𡅏
U+21155	𡅕
U+21180	𡆀
U+21187	𡆇
U+211D9	𡇙
U+21201	𡈁
U+2123C	𡈼
U+2123D	𡈽
U+2124F	𡉏
U+21255	𡉕
U+21274	𡉴
U+2127B	𡉻
U+2127C	𡉼
U+2128D	𡊍
U+212A8	𡊨
U+212A9	𡊩
U+212B0	𡊰
U+212D7	𡋗
U+212E3	𡋣
U+212E4	𡋤
U+212FD	𡋽
U+212FE	𡋾
U+21302	𡌂
U+21303	𡌃
U+21304	𡌄
U+21305	𡌅
U+2131B	𡌛
U+21336	𡌶
U+2133A	𡌺
U+21344	𡍄
U+21375	𡍵
